,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_STATE_FIPS,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_STATE_FIPS,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,SUCCESS_RATES,FILL_RATES,DEPARTURE_SUCCESS
AIRLINE_ID,-0.23779459128758804,-0.2386248333640856,-0.2375829318051752,-0.23907981668710443,-0.24479645878250658,-0.23839740753408126,-0.20815103578632377,0.4201483198615078,-0.2311464353164611,-0.23079024078453247,1.0,,,0.3720030507894623,0.37200305078946294,0.3720030507894622,,,0.2737331803643856,0.2737338326267443,-0.16936462726514706,,,-0.0029846101511585943,0.13098834150212404,,-0.06118526133788858,-0.07065229163052125,-0.059397095760533224,,-0.33115103114852473,-0.2723629070982454,0.08944761903209687
CARRIER_GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARRIER_GROUP_NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN_AIRPORT_ID,-0.5150728876646897,-0.5168352903493063,-0.5487212395686133,-0.5386374318446234,-0.5362958517067705,-0.24380497076711616,-0.5337189346652561,0.6703658775734268,-0.5069729739526083,-0.5079983839498087,0.3720030507894623,,,1.0,0.9999999999999972,0.9999999999999998,,,-0.11160684083574182,-0.11160427045750008,-0.4868555232439073,,,0.06362529622529164,-0.4511501387473694,,0.13437244376460722,-0.0789795280003978,-0.07608159557617117,,-0.49141799669998343,-0.1133333658446107,0.09299461557723658
ORIGIN_AIRPORT_SEQ_ID,-0.5150728876646896,-0.5168352903493061,-0.5487212395686126,-0.5386374318446236,-0.5362958517067701,-0.24380497076711596,-0.533718934665255,0.6703658775734276,-0.5069729739526084,-0.5079983839498083,0.37200305078946294,,,0.9999999999999972,1.0,0.9999999999999979,,,-0.11160684083574157,-0.11160427045750003,-0.48685552324390746,,,0.06362529622529166,-0.4511501387473704,,0.13437244376460733,-0.07897952800039769,-0.07608159557617118,,-0.4914179966999836,-0.11333336584461065,0.09299461557723653
ORIGIN_CITY_MARKET_ID,-0.51507288766469,-0.5168352903493066,-0.5487212395686134,-0.5386374318446238,-0.5362958517067706,-0.24380497076711632,-0.5337189346652561,0.6703658775734271,-0.5069729739526088,-0.5079983839498091,0.3720030507894622,,,0.9999999999999998,0.9999999999999979,1.0,,,-0.11160684083574196,-0.11160427045750008,-0.48685552324390746,,,0.06362529622529174,-0.45115013874736976,,0.13437244376460747,-0.07897952800039768,-0.0760815955761716,,-0.49141799669998365,-0.1133333658446107,0.0929946155772366
ORIGIN_STATE_FIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN_WAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEST_AIRPORT_ID,-0.23693166405254806,-0.23588751396505275,-0.21653477640771632,-0.21902508337129106,-0.2319730513963874,-0.43983791201517003,-0.30766636523928687,0.45892312592135953,-0.2241748390157235,-0.21628730914047167,0.2737331803643856,,,-0.11160684083574182,-0.11160684083574157,-0.11160684083574196,,,1.0,0.9999999999335427,0.1757371354614635,,,0.04608660084716001,0.43171411003176696,,0.004053029569406673,-0.02287774798913692,-0.022073703584341634,,0.0008017239799397647,-0.04154022295979052,0.08039343891962208
DEST_AIRPORT_SEQ_ID,-0.23693129011535796,-0.2358871718192928,-0.21653457365908743,-0.21902482990934322,-0.23197292228796265,-0.43983750412487455,-0.30766660995647693,0.4589272026588356,-0.22417439922071075,-0.2162868641300346,0.2737338326267443,,,-0.11160427045750008,-0.11160427045750003,-0.11160427045750008,,,0.9999999999335427,1.0,0.17573161238050142,,,0.046087034934639975,0.43171297614672255,,0.004056757642664821,-0.022879742317387906,-0.022075073831108922,,0.0008004436682416254,-0.041541284795495535,0.08039401879022627
